protein	frac_centro_specific	frac_NT_control	diff	cohens_h	z	n_centro_specific	n_NT_control
HepG2-CSTF2T-eCLIP	0.3538	0.3849	-0.0310	-0.0643	-1.98	673	732
K562-LARP7-eCLIP	0.2403	0.2687	-0.0284	-0.0652	-2.01	457	511
HepG2-HNRNPK-eCLIP	0.1793	0.2050	-0.0258	-0.0654	-2.02	341	390
HepG2-SUGP2-eCLIP	0.3822	0.4143	-0.0321	-0.0655	-2.02	727	788
ZFP36-PARCLIP	0.0047	0.0105	-0.0058	-0.0678	-2.05	9	20
HepG2-FKBP4-eCLIP	0.2655	0.2971	-0.0315	-0.0702	-2.16	505	565
K562-ILF3-eCLIP	0.4958	0.5310	-0.0352	-0.0705	-2.17	943	1010
K562-PHF6-eCLIP	0.3433	0.3780	-0.0347	-0.0723	-2.23	653	719
K562-DDX52-eCLIP	0.3875	0.4232	-0.0358	-0.0728	-2.25	737	805
HepG2-DHX30-eCLIP	0.4132	0.4495	-0.0363	-0.0733	-2.26	786	855
HepG2-DKC1-eCLIP	0.3228	0.3601	-0.0373	-0.0787	-2.43	614	685
HepG2-MATR3-eCLIP	0.1236	0.1519	-0.0284	-0.0825	-2.54	235	289
HepG2-ILF3-eCLIP	0.2797	0.3181	-0.0384	-0.0839	-2.59	532	605
HepG2-SMNDC1-eCLIP	0.3176	0.3591	-0.0415	-0.0878	-2.71	604	683
K562-WDR3-eCLIP	0.1367	0.1682	-0.0315	-0.0879	-2.71	260	320
HepG2-NIP7-eCLIP	0.2224	0.2603	-0.0379	-0.0885	-2.73	423	495
K562-TBRG4-eCLIP	0.4685	0.5131	-0.0447	-0.0894	-2.76	891	976
AGO1-PARCLIP	0.1809	0.2177	-0.0368	-0.0922	-2.84	344	414
K562-ELAVL1-rep1-eCLIP	0.4685	0.5147	-0.0463	-0.0926	-2.85	891	979
K562-SUPV3L1-eCLIP	0.0358	0.0552	-0.0195	-0.0939	-2.88	68	105
K562-EIF3G-eCLIP	0.3554	0.4017	-0.0463	-0.0954	-2.94	676	764
HepG2-QKI-eCLIP	0.3512	0.3980	-0.0468	-0.0967	-2.98	668	757
K562-EXOSC5-eCLIP	0.3880	0.4364	-0.0484	-0.0983	-3.03	738	830
K562-KHDRBS1-eCLIP	0.5310	0.5804	-0.0494	-0.0995	-3.07	1010	1104
HepG2-TBRG4-eCLIP	0.0999	0.1325	-0.0326	-0.1020	-3.14	190	252
HepG2-DDX59-eCLIP	0.4558	0.5068	-0.0510	-0.1021	-3.15	867	964
HepG2-SF3A3-eCLIP	0.4243	0.4753	-0.0510	-0.1026	-3.16	807	904
AGO2-PARCLIP	0.1714	0.2124	-0.0410	-0.1043	-3.21	326	404
HepG2-GRSF1-eCLIP	0.3344	0.3854	-0.0510	-0.1063	-3.28	636	733
K562-DGCR8-eCLIP	0.3996	0.4522	-0.0526	-0.1064	-3.28	760	860
HepG2-SFPQ-eCLIP	0.1498	0.1898	-0.0400	-0.1066	-3.28	285	361
K562-PUS1-eCLIP	0.3086	0.3591	-0.0505	-0.1071	-3.30	587	683
NOP56-PARCLIP	0.0489	0.0747	-0.0258	-0.1076	-3.30	93	142
HepG2-LARP7-eCLIP	0.1215	0.1588	-0.0373	-0.1078	-3.32	231	302
CSTF2T-PARCLIP	0.2024	0.2482	-0.0457	-0.1096	-3.38	385	472
HepG2-XPO5-eCLIP	0.2960	0.3486	-0.0526	-0.1126	-3.47	563	663
K562-ZRANB2-eCLIP	0.3065	0.3607	-0.0542	-0.1149	-3.54	583	686
K562-ELAVL1-rep2-eCLIP	0.3575	0.4180	-0.0605	-0.1242	-3.83	680	795
K562-PUM2-eCLIP	0.4490	0.5126	-0.0636	-0.1274	-3.93	854	975
DICER1-PARCLIP	0.0473	0.0789	-0.0315	-0.1308	-4.00	90	150
MBNL1-PARCLIP	0.0032	0.0147	-0.0116	-0.1309	-3.79	6	28
AGO3-PARCLIP	0.0137	0.0347	-0.0210	-0.1404	-4.22	26	66
K562-SSB-eCLIP	0.2334	0.2955	-0.0620	-0.1409	-4.34	444	562
K562-GNL3-eCLIP	0.3801	0.4506	-0.0705	-0.1431	-4.41	723	857
K562-SLBP-eCLIP	0.0920	0.1393	-0.0473	-0.1487	-4.56	175	265
K562-WRN-eCLIP	0.2944	0.3686	-0.0741	-0.1577	-4.86	560	701
K562-HNRNPK-eCLIP	0.1824	0.2482	-0.0657	-0.1603	-4.93	347	472
K562-CPEB4-eCLIP	0.2077	0.2776	-0.0699	-0.1635	-5.03	395	528
K562-NSUN2-eCLIP	0.1977	0.2666	-0.0689	-0.1635	-5.03	376	507
K562-ZC3H8-eCLIP	0.2245	0.2971	-0.0726	-0.1656	-5.10	427	565
K562-SBDS-eCLIP	0.2334	0.3076	-0.0741	-0.1672	-5.15	444	585
HNRNPC-Hela-iCLIP	0.1777	0.2461	-0.0683	-0.1678	-5.16	338	468
K562-NPM1-eCLIP	0.2992	0.3785	-0.0794	-0.1680	-5.17	569	720
K562-RPS11-eCLIP	0.2571	0.3344	-0.0773	-0.1697	-5.22	489	636
SSB-PARCLIP	0.0489	0.0946	-0.0457	-0.1795	-5.47	93	180
K562-RBM22-eCLIP	0.3323	0.4196	-0.0873	-0.1805	-5.56	632	798
TARDBP-NSC-iCLIP	0.0715	0.1272	-0.0557	-0.1881	-5.74	136	242
K562-QKI-eCLIP	0.2234	0.3123	-0.0889	-0.2013	-6.19	425	594
TIA1-Hela-iCLIP	0.0757	0.1372	-0.0615	-0.2015	-6.15	144	261
FIP1L1-PARCLIP	0.2708	0.3665	-0.0957	-0.2059	-6.33	515	697
CSTF2-PARCLIP	0.1562	0.2603	-0.1041	-0.2582	-7.91	297	495
TIAL1-Hela-iCLIP	0.3228	0.4664	-0.1435	-0.2949	-9.06	614	887
HNRNPL-Hela-iCLIP	0.1115	0.3123	-0.2008	-0.5052	-15.16	212	594
