gene	Centro_apex_R1	Centro_apex_R2	Centro_apex_R3	NT_apex_R1	NT_apex_R2	NT_apex_R3	No_apex_R1	No_apex_R2	No_apex_R3
LINC01343	1	0	0	0	0	0	0	0	0
LINC01344	55	20	4	22	7	7	13	0	12
LINC01347	3	0	0	0	0	1	0	0	1
LINC01348	3	1	1	1	0	2	0	0	2
LINC01349	0	0	0	0	1	0	0	0	0
LINC01350	3	3	0	1	1	1	1	0	2
LINC01353	0	0	0	1	0	0	0	0	0
LINC01355	32	35	9	16	15	31	11	0	63
LINC01356	2	1	2	0	1	2	0	0	0
LINC01357	1	1	0	0	0	2	0	0	2
LINC01358	19	4	0	2	3	4	4	0	8
LINC01359	0	0	0	1	0	0	0	0	1
LINC01360	1	0	0	0	1	0	0	0	0
LINC01361	0	2	0	0	0	0	0	0	0
LINC01362	14	3	1	2	1	6	1	0	1
LINC01363	2	1	0	0	0	0	0	0	0
LINC01364	0	0	0	0	0	2	0	0	1
LINC01366	2	0	0	0	0	0	0	0	0
LINC01370	1	0	0	0	0	0	0	0	0
LINC01374	44	45	1	22	9	7	14	0	10
LINC01375	0	0	0	1	0	1	0	0	0
LINC01376	27	32	5	9	14	12	4	0	22
LINC01378	14	6	3	4	0	5	0	0	5
LINC01386	0	0	0	1	0	0	0	0	0
LINC01387	363	2	0	2	0	2	0	0	0
LINC01391	5	0	0	1	0	0	1	0	0
LINC01392	2	5	0	0	0	2	1	0	3
LINC01393	7	10	0	7	2	8	3	0	5
LINC01395	0	0	1	1	0	0	0	0	1
LINC01396	0	0	0	1	0	0	0	0	0
LINC01397	1	0	0	3	0	1	0	0	1
LINC01398	1	0	0	0	0	0	0	0	0
LINC01399	8	10	0	11	4	9	1	0	7
LINC01405	1	1	0	1	1	1	0	0	1
LINC01409	10	14	3	6	4	10	3	0	6
LINC01410	16	17	3	7	3	11	6	0	16
LINC01411	1711	1314	243	671	434	822	379	4	994
LINC01412	2	2	0	1	1	2	0	0	2
LINC01413	2	1	0	1	0	0	0	0	1
LINC01414	24	15	3	8	3	13	4	0	12
LINC01415	1	0	0	0	1	0	0	0	0
LINC01416	4	4	0	1	1	0	0	0	1
LINC01419	3	0	0	2	0	1	0	0	1
LINC01422	1	2	1	1	2	2	0	0	3
LINC01424	10	5	3	2	0	2	4	0	5
LINC01425	6	5	0	0	0	0	1	0	0
LINC01426	2	0	0	0	1	1	0	0	0
LINC01427	1	0	1	0	1	0	0	0	0
LINC01428	5	3	0	4	0	2	2	0	2
LINC01429	3	1	0	0	1	0	0	0	3
LINC01431	0	1	0	2	0	0	0	0	0
LINC01432	1	0	0	0	0	0	0	0	0
LINC01433	2	2	0	0	0	1	0	0	0
LINC01435	22	18	2	15	1	6	3	0	9
LINC01438	0	0	0	0	0	1	1	0	0
LINC01440	9	3	1	5	0	2	0	0	6
LINC01441	0	0	0	1	0	0	0	0	0
LINC01443	0	0	0	3	0	0	1	0	0
LINC01444	1	1	0	0	0	0	0	0	0
LINC01445	6	3	0	1	1	1	0	0	2
LINC01446	5	5	0	3	2	0	0	0	0
LINC01447	1	0	0	1	0	0	0	0	0
LINC01448	2	0	0	0	0	0	0	0	1
LINC01449	3	2	0	0	0	1	0	0	2
LINC01450	0	1	0	0	0	0	0	0	0
LINC01451	0	0	0	0	0	0	0	0	1
LINC01455	1	0	0	1	0	0	0	0	0
LINC01456	6	7	1	3	4	0	3	0	3
LINC01460	3	1	2	2	0	1	0	0	0
LINC01465	4	3	1	2	1	1	1	0	0
LINC01467	0	0	0	0	0	1	0	0	1
LINC01470	23	12	3	5	4	5	2	0	5
LINC01471	6	2	0	0	0	0	0	0	3
LINC01473	248	217	32	113	89	158	68	0	257
LINC01476	6	3	0	1	1	0	1	0	3
LINC01477	3	1	0	1	0	1	1	0	0
LINC01478	10	4	0	5	1	3	1	0	1
LINC01479	0	1	0	0	0	0	1	0	0
LINC01482	3	5	0	3	0	2	0	0	1
LINC01483	10	4	1	1	5	2	1	0	11
LINC01484	14	10	0	4	1	5	3	0	7
LINC01485	1	1	0	1	1	0	0	0	0
LINC01488	2	3	0	0	0	0	0	0	0
LINC01489	0	2	0	0	0	0	0	0	0
LINC01490	0	1	0	0	0	0	0	0	0
LINC01491	1	2	0	2	0	1	0	0	2
LINC01492	9	4	1	2	2	2	1	0	2
LINC01493	2	0	0	0	1	0	0	0	0
LINC01494	0	0	0	2	1	0	1	0	0
LINC01495	7	4	0	3	2	3	1	0	1
LINC01496	0	2	0	0	0	0	0	0	0
LINC01497	0	1	0	0	0	0	0	0	0
LINC01498	7	5	1	1	2	0	1	0	1
LINC01499	4	3	0	2	3	0	1	0	2
LINC01500	13	8	0	5	3	3	3	0	4
LINC01501	3	1	2	0	0	1	0	0	2
LINC01502	2	1	0	0	0	0	0	0	0
LINC01503	13	13	3	8	8	10	8	0	13
LINC01504	1	2	0	0	0	2	0	0	0
LINC01505	105	109	26	57	30	57	32	0	107
LINC01507	1	0	0	0	0	0	0	0	0
LINC01508	12	8	0	6	2	3	0	0	3
LINC01509	10	8	1	7	1	4	1	0	4
LINC01511	1	1	0	1	0	0	1	0	0
LINC01512	3	0	0	0	0	0	0	0	0
LINC01513	1	0	0	0	0	1	0	0	0
LINC01514	0	0	0	1	0	0	0	0	0
LINC01515	78	73	14	40	28	80	20	0	90
LINC01516	1	0	0	0	0	0	0	0	0
LINC01517	14	10	0	5	1	6	2	0	4
LINC01518	9	4	1	4	3	10	5	0	10
LINC01520	1	0	0	0	0	0	0	0	1
LINC01521	2	1	2	4	0	3	0	0	0
LINC01522	0	0	0	0	0	0	0	0	1
LINC01524	38	15	3	6	7	9	3	0	11
LINC01525	1	1	0	4	1	1	1	0	0
LINC01527	1	0	0	0	0	1	0	0	0
LINC01531	1	0	0	0	0	0	0	0	1
LINC01532	0	0	0	0	0	0	0	0	2
LINC01533	3	1	0	1	0	2	0	0	0
LINC01535	0	0	2	0	0	0	0	0	1
LINC01537	4	3	0	4	4	1	1	0	3
LINC01538	1	0	1	0	0	0	1	0	1
LINC01541	0	1	0	0	0	0	0	0	0
LINC01543	2	2	0	0	0	0	0	0	1
LINC01544	1	0	0	0	0	0	0	0	0
LINC01545	0	1	1	0	0	0	0	0	1
LINC01546	1	0	0	0	0	0	0	0	0
